date,matchday,opponent,minute,time_of_shot_after_entry,player,result,xg,body_part,dominant_foot,final_third_entry,entry_method,type_of_attack,pre_assist,pre_assist_type,assisted_by,assist_type,shot_type,touches_before_shot,zone,distance,shot_angle,beaten_by,linkup_play,shot_under_pressure,defenders_between,defensive_line,overload_zone,defensive_line_shape,number_in_box,transition,defensive_error,opponent_formation,
4/1/2025,30,Fulham,37,5,Mikel Merino,goal,0.08,right,no,right halfspace,through ball,positional,Jurrien Timber,through ball,Ethan Nwaneri,cutback,normal,3,2,close,straight,n/a,no,yes,3,mid,n/a,organized,8,no,no,541,
4/1/2025,30,Fulham,51,7,Martin Odegaard,off target,0.12,left,yes,left halfspace,normal pass,transition,Mikel Merino,normal pass,Gabriel Martinelli,cutback,normal,0,2,close,straight,Gabriel Martinelli,no,yes,1,high,n/a,organized,5,yes,no,541,
4/1/2025,30,Fulham,54,4,Jurrien Timber,saved,0.32,right,yes,right halfspace,dribble,positional,Jurrien Timber,normal pass,Martin Odegaard,through ball,normal,0,1,very close,wide,n/a,yes,no,0,low,n/a,organized,8,no,no,541,great 1-2
4/1/2025,30,Fulham,58,n/a,William Saliba,off target,0.05,head,no,free kick,set piece,set piece,n/a,n/a,Martin Odegaard,cross from free kick,header,0,2,close,straight,n/a,no,yes,0,low,n/a,organized,10,no,no,541,
4/1/2025,30,Fulham,60,n/a,Gabriel Martinelli,deflected off target,0.13,head,no,left corner,set piece,set piece,n/a,n/a,Declan Rice,corner,header,0,2,very close,narrow,n/a,no,no,3,low,n/a,organized,10,no,no,541,
4/1/2025,30,Fulham,61,n/a,Mikel Merino,blocked,0.03,left,yes,right corner,set piece,set piece,n/a,n/a,n/a,n/a,volley,0,2,close,straight,n/a,no,yes,5,low,n/a,organized,10,no,no,541,
4/1/2025,30,Fulham,63,n/a,Gabriel Martinelli,saved,0.11,head,no,right halfspace,set piece,positional,Myles Lewis-Skelly,normal pass,Ethan Nwaneri,floated cross,header,0,2,close,straight,n/a,no,yes,0,low,n/a,organized,7,no,no,541,
4/1/2025,30,Fulham,73,5,Bukayo Saka,goal,0.93,head,no,left halfspace,dribble,transition,Mikel Merino,normal pass,Gabriel Martinelli,floated cross,header,0,1,very close,straight,n/a,yes,no,0,mid,n/a,organized,5,yes,no,541,
4/1/2025,30,Fulham,93,n/a,Declan Rice,off target,0.03,right,yes,right corner,set piece,set piece,n/a,n/a,n/a,n/a,volley,0,2,close,straight,n/a,no,no,4,low,n/a,organized,10,no,no,541,clearance from corner fell to Rice
4/5/2025,31,Everton,2,4,Raheem Sterling,blocked,0.13,right,yes,right,dribble,positional,Leandro Trossard,normal pass,Ben White,cutback,normal,0,2,close,straight,n/a,no,no,2,low,n/a,organized,9,no,no,4231,
